,id,year,date,stage,home_team,home_goals,away_goals,away_team,winning_team,losing_team,win_conditions,host_team
0,1,1930,1930/7/13,Group stage,France,4,1,Mexico,France,Mexico,,False
1,2,1930,1930/7/13,Group stage,United States,3,0,Belgium,United States,Belgium,,False
2,3,1930,1930/7/14,Group stage,Yugoslavia,2,1,Brazil,Yugoslavia,Brazil,,False
3,4,1930,1930/7/14,Group stage,Romania,3,1,Peru,Romania,Peru,,False
4,5,1930,1930/7/15,Group stage,Argentina,1,0,France,Argentina,France,,False
5,6,1930,1930/7/16,Group stage,Chile,3,0,Mexico,Chile,Mexico,,False
6,7,1930,1930/7/17,Group stage,Yugoslavia,4,0,Bolivia,Yugoslavia,Bolivia,,False
7,8,1930,1930/7/17,Group stage,United States,3,0,Paraguay,United States,Paraguay,,False
8,9,1930,1930/7/18,Group stage,Uruguay,1,0,Peru,Uruguay,Peru,,True
9,10,1930,1930/7/19,Group stage,Chile,1,0,France,Chile,France,,False
10,11,1930,1930/7/19,Group stage,Argentina,6,3,Mexico,Argentina,Mexico,,False
11,12,1930,1930/7/20,Group stage,Brazil,4,0,Bolivia,Brazil,Bolivia,,False
12,13,1930,1930/7/20,Group stage,Paraguay,1,0,Belgium,Paraguay,Belgium,,False
13,14,1930,1930/7/21,Group stage,Uruguay,4,0,Romania,Uruguay,Romania,,True
14,15,1930,1930/7/22,Group stage,Argentina,3,1,Chile,Argentina,Chile,,False
15,16,1930,1930/7/26,Semi-finals,Argentina,6,1,United States,Argentina,United States,,False
16,17,1930,1930/7/27,Semi-finals,Uruguay,6,1,Yugoslavia,Uruguay,Yugoslavia,,True
17,18,1930,1930/7/30,Final,Uruguay,4,2,Argentina,Uruguay,Argentina,,True
18,19,1934,1934/5/27,Round of 16,Austria,3,2,France,Austria,France,Extra time,False
19,20,1934,1934/5/27,Round of 16,Hungary,4,2,Egypt,Hungary,Egypt,,False
20,21,1934,1934/5/27,Round of 16,Switzerland,3,2,Netherlands,Switzerland,Netherlands,,False
21,22,1934,1934/5/27,Round of 16,Sweden,3,2,Argentina,Sweden,Argentina,,False
22,23,1934,1934/5/27,Round of 16,Germany,5,2,Belgium,Germany,Belgium,,False
23,24,1934,1934/5/27,Round of 16,Spain,3,1,Brazil,Spain,Brazil,,False
24,25,1934,1934/5/27,Round of 16,Italy,7,1,United States,Italy,United States,,True
25,26,1934,1934/5/27,Round of 16,Czechoslovakia,2,1,Romania,Czechoslovakia,Romania,,False
26,27,1934,1934/5/31,Quarter-finals,Czechoslovakia,3,2,Switzerland,Czechoslovakia,Switzerland,,False
27,28,1934,1934/5/31,Quarter-finals,Germany,2,1,Sweden,Germany,Sweden,,False
28,29,1934,1934/5/31,Quarter-finals,Italy,1,1,Spain,,,,True
29,30,1934,1934/5/31,Quarter-finals,Austria,2,1,Hungary,Austria,Hungary,,False
30,31,1934,1934/6/1,Quarter-finals,Italy,1,0,Spain,Italy,Spain,,True
31,32,1934,1934/6/3,Semi-finals,Italy,1,0,Austria,Italy,Austria,,True
32,33,1934,1934/6/3,Semi-finals,Czechoslovakia,3,1,Germany,Czechoslovakia,Germany,,False
33,34,1934,1934/6/7,Third place,Germany,3,2,Austria,Germany,Austria,,False
34,35,1934,1934/6/10,Final,Italy,2,1,Czechoslovakia,Italy,Czechoslovakia,Extra time,True
35,36,1938,1938/6/4,Round of 16,Switzerland,1,1,Germany,,,,False
36,37,1938,1938/6/5,Round of 16,Hungary,6,0,Indonesia,Hungary,Indonesia,,False
37,38,1938,1938/6/5,Round of 16,France,3,1,Belgium,France,Belgium,,True
38,39,1938,1938/6/5,Round of 16,Cuba,3,3,Romania,,,,False
39,40,1938,1938/6/5,Round of 16,Italy,2,1,Norway,Italy,Norway,Extra time,False
40,41,1938,1938/6/5,Round of 16,Brazil,6,5,Poland,Brazil,Poland,Extra time,False
41,42,1938,1938/6/5,Round of 16,Czechoslovakia,3,0,Netherlands,Czechoslovakia,Netherlands,Extra time,False
42,43,1938,1938/6/9,Round of 16,Cuba,2,1,Romania,Cuba,Romania,,False
43,44,1938,1938/6/9,Round of 16,Switzerland,4,2,Germany,Switzerland,Germany,,False
44,45,1938,1938/6/12,Quarter-finals,Brazil,1,1,Czechoslovakia,,,,False
45,46,1938,1938/6/12,Quarter-finals,Hungary,2,0,Switzerland,Hungary,Switzerland,,False
46,47,1938,1938/6/12,Quarter-finals,Sweden,8,0,Cuba,Sweden,Cuba,,False
47,48,1938,1938/6/12,Quarter-finals,France,1,3,Italy,Italy,France,,True
48,49,1938,1938/6/14,Quarter-finals,Brazil,2,1,Czechoslovakia,Brazil,Czechoslovakia,,False
