year,country
2018,Russia
2018,Egypt
2018,Morocco
2018,Portugal
2018,France
2018,Argentina
2018,Peru
2018,Croatia
2018,Costa Rica
2018,Germany
2018,Brazil
2018,Sweden
2018,Belgium
2018,Tunisia
2018,Colombia
2018,Poland
2018,Russia
2018,Portugal
2018,Uruguay
2018,Iran
2018,Denmark
2018,France
2018,Argentina
2018,Brazil
2018,Nigeria
2018,Serbia
2018,Belgium
2018,South Korea
2018,Germany
2018,England
2018,Japan
2018,Poland
2018,Russia
2018,Saudi Arabia
2018,Spain
2018,Iran
2018,Australia
2018,Denmark
2018,Nigeria
2018,Iceland
2018,South Korea
2018,Mexico
2018,Serbia
2018,Switzerland
2018,Japan
2018,Senegal
2018,Panama
2018,England
2018,France
2018,Uruguay
2018,Russia
2018,Croatia
2018,Brazil
2018,Belgium
2018,Sweden
2018,Colombia
2018,Uruguay
2018,Brazil
2018,Sweden
2018,Russia
2018,France
2018,Croatia
2018,Belgium
2018,France
2022,Ecuador
2022,Netherlands
2022,Iran
2022,Wales
2022,Australia
2022,Tunisia
2022,Poland
2022,Saudi Arabia
2022,Canada
2022,Costa Rica
2022,Japan
2022,Croatia
2022,Cameroon
2022,South Korea
2022,Ghana
2022,Serbia
2022,Wales
2022,Senegal
2022,Ecuador
2022,United States
2022,Australia
2022,Saudi Arabia
2022,Denmark
2022,Mexico
2022,Costa Rica
2022,Morocco
2022,Canada
2022,Germany
2022,Cameroon
2022,Ghana
2022,Switzerland
2022,Uruguay
2022,Wales
2022,United States
2022,Senegal
2022,Netherlands
2022,Australia
2022,France
2022,Argentina
2022,Mexico
2022,Belgium
2022,Morocco
2022,Spain
2022,Germany
2022,Uruguay
2022,Portugal
2022,Switzerland
2022,Cameroon
