,country_name,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,unnamed:_65
4,Angola,AGO,,,,,,,,,,,,,,,,,,,,,711.40957856021,642.768196831557,620.333123364606,623.815362351581,638.099006801712,758.745063152158,685.728127726666,756.767926189975,792.833017228347,891.149280264381,948.338177965671,,,,251.078348367302,398.79099821209,522.679624255226,514.385174425759,423.619048972815,387.785124062555,556.838631674927,527.333528536691,872.494441791273,982.96100777685,1255.56451325546,1902.42214975937,2599.56594793067,3121.99608528081,4080.94103372417,3122.7815987074,3587.88364462837,4615.46821863819,5100.09702685927,5254.88112606683,5408.41170002082,4166.97983330278,3506.07312818832,4095.8100568707,3289.64399476678,2809.62608839129,1776.16686789531,
8,United Arab Emirates,ARE,,,,,,,,,,,,,,,,26848.0881760738,30117.9489330308,33823.1816606368,28457.0780342099,33512.6334236559,42764.5405564139,44987.5379901852,40025.8226237317,34843.1596263749,32309.8327132028,29720.8977184634,23467.8793176905,23726.3070493825,22295.1187062952,24028.2624976646,27729.3905933305,26612.253110068,26420.8598834079,25596.7393895625,25848.016250094,27221.9344117425,28975.0799572712,29512.6747918254,26899.601766231,28470.885858149,33291.3662541838,31280.7558649555,31567.5463066439,33499.1027760786,36333.1873330517,39365.4596409245,41907.4214695701,41809.4621626311,44498.9405069137,32024.1977823245,33893.2638727391,39194.672239975,40976.4907464015,42412.6395002704,43751.8056478669,38663.4005026605,38141.8671313451,40644.7911901772,43839.3244866903,42701.4430454782,36284.5552429552,
9,Argentina,ARG,,,1155.89071669257,850.304578624232,1173.23810525517,1279.11377848123,1272.80320401009,1062.54341227446,1141.08043154103,1329.058546189,1322.59063753874,1372.37417356256,1408.86537993108,2097.02283010295,2844.86331235351,2027.33720222659,1948.22468587272,2129.70836077888,2146.36495899265,2520.92071606516,2758.83481652658,2776.32208825139,2927.89735685135,3553.37750879684,2659.70824247007,2926.12648531698,3613.62170927636,3562.87605875248,3985.19246874962,2383.86747065533,4333.48337168025,5735.3599805848,6823.53883710424,6969.11972904571,7483.14033425721,7408.70866363112,7721.35410460355,8213.12512693705,8289.5075682025,7774.73620280001,7708.09911454041,7208.37311355372,2593.404563368,3349.80630031036,4277.72157290954,5109.85224490403,5919.01233837714,7245.44685667197,9020.87332314274,8225.13758261645,10385.9644319555,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14613.041824658,11795.1593866287,10056.637940265,8579.01777315683,
13,Australia,AUS,1810.61923013403,1877.6166377325,1854.65683385421,1967.11653731032,2131.37794817925,2281.09879668523,2343.99529013149,2580.27109571187,2724.37251931884,2991.60719792911,3305.12639431046,3495.57929420671,3950.17089391811,4771.6719859735,6484.11987233886,7005.90658757798,7489.59416032812,7778.16400801462,8255.74454303408,9297.33341717362,10211.8371887909,11854.5884953898,12788.5492901209,11538.3984187095,12454.5517172396,11459.179567837,11384.9382387646,11645.4525939389,14279.1594387946,17828.0482329023,18243.4714183672,18855.7619964202,18604.1882699613,17667.1870997502,18079.3801793746,20358.3333563413,21904.2941177592,23509.4234684514,21345.9709868552,20558.9604021981,21697.7084797731,19527.3235767954,20117.7888912664,23492.4051742272,30513.9417409748,34080.9998953245,36117.487983674,41001.1429790999,49654.9105957389,42783.3225651148,52087.9722888891,62574.1457032412,68027.8417067378,68156.6279162085,62511.6905895284,56707.0220772116,49881.7637140466,53934.2501750463,57180.7794001614,54875.2859563351,51692.8427477695,
14,Austria,AUT,935.460426850415,1031.8150043291,1087.8342434189,1167.00053244585,1269.41258289256,1374.53213986075,1486.96860600566,1569.66718289967,1677.67352804272,1825.38612552124,2058.76905087549,2380.97845801742,2924.04887899105,3890.72241941969,4630.75719737956,5285.62072414121,5678.38665810018,6810.62768469634,8205.4689771504,9793.76534815017,10869.5464940526,9385.24906398343,9410.34725652989,9537.40742043378,8991.06503963026,9172.09676001833,13083.0726621044,16392.7695234749,17578.6189397397,17468.9461372569,21680.989623313,22410.9117666654,24880.1641180361,24081.5277928004,25646.7006591684,30325.8495818396,29809.0767730821,26705.4785993891,27361.8751106437,27174.2971559775,24564.4582948404,24537.5142629883,26401.7454564357,32222.8972411655,36821.5214680093,38403.1338770715,40635.2818159724,46855.7717452095,51708.7657541758,47963.1794023217,46858.0432733717,51374.9584066934,48567.69528642,50716.7087062864,51717.4959405515,44178.0473777432,45276.8314351693,47312.0062332199,51461.4332150082,50114.4011099728,48586.8013213238,
17,Belgium,BEL,1273.69165910289,1350.19767333123,1438.5232330684,1535.02372901043,1701.84627554319,1835.59476553194,1957.62608042762,2086.63600544654,2222.36151051913,2458.08182003773,2765.89099664794,3082.92798879126,3831.63189999433,4900.96220075866,5733.79813933878,6701.37736052433,7243.04734119583,8426.94695947372,10289.7684173296,11810.6158754725,12864.0025661396,10622.8024830789,9343.86109959618,8846.23429846974,8457.26880316374,8750.81851250536,12170.0406962702,15135.8523116968,16391.093827791,16525.0617432848,20600.3752789827,21041.6606519648,23372.619171015,22283.9360213551,24208.5547931447,28413.8264387368,27489.5551770488,24820.9380503896,25338.4432934904,25244.2750474813,23041.5347290428,22995.1575247288,24887.5613341833,30587.6684093796,35364.3753314368,36795.9768819639,38672.7059429767,44262.8960009954,48106.892915788,44583.5448070814,44141.8781415734,47348.5250202016,44673.1158755901,46744.6625441516,47700.5403601178,40991.8081381432,41984.1030335609,44089.3100875118,47519.5530968943,46591.4916067396,45159.3482229717,
21,Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,2238.80295786574,2234.81481573125,2169.00401089683,1852.81343442802,1963.57267618274,1914.55064658793,2260.4272811545,3132.30136036246,2511.39306259489,2477.0208179596,2366.52982128614,1267.73437541485,1211.98087810931,1278.24717346108,1148.4943993817,2258.28601787597,1470.10370331004,1361.3923860059,1820.40509424896,1659.71834595525,1621.24296080247,1770.91353394746,2092.95769387611,2719.49765607059,3389.70704883102,3899.90763774017,4523.0508329806,5885.10434781837,7265.73549682997,6988.23332468094,6853.00285388669,7849.16528274432,7432.47876568071,7681.93461995882,7901.78587639382,7074.68102325059,7569.47881476759,8366.29322145748,9446.70077185518,9879.26853313318,10079.2033812203,
24,Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.012792020937,487.476904509881,740.099686468862,982.801849065598,1102.39068809628,1251.74759512886,1484.17605553887,1544.60207508357,1789.85769066943,2258.94645158877,2698.46717999989,2980.60126845084,3416.51237566203,4193.36801082253,5090.9458340499,4714.69374593021,4635.5101947972,5092.5547231941,4777.06691374907,5129.6635340307,5330.35507495756,4729.68995905382,4994.97155093444,5394.26894391382,6070.34908129292,6119.76234462222,6079.73828544838,
28,Bolivia,BOL,102.237722413607,109.061303979425,116.924968208513,123.429341345478,136.312361950325,149.640333206756,162.326054493388,179.583038401343,199.629567437341,211.797016169884,226.806971403988,239.127498743471,268.584015387715,263.892746078729,429.297559603423,480.803655121945,534.273285904764,617.30682923322,703.135427290607,809.412178497187,811.28529928503,1030.83305449824,960.983778189371,913.974850691183,1019.05725747634,870.185648376456,627.398628752618,671.075854650414,698.692002828122,701.665938595643,709.059982354587,762.077707050846,788.152320018064,784.190988682633,801.046136937657,880.992686367672,950.856386162623,998.515953217447,1049.49937364874,1003.39223063895,997.581748874387,948.870211337892,904.225799882294,907.537415801528,967.406458598204,1034.31180039586,1218.87407027713,1372.62836843372,1715.2083925524,1754.20946375615,1955.46018156049,2346.33784403698,2609.880562178,2908.2003704458,3081.87882321413,3035.97165489786,3076.65643989367,3351.12434384125,3548.59078021377,3552.06814321502,3133.09980321504,
29,Brazil,BRA,,232.480546230829,251.348317405138,295.631970805808,258.605370728102,269.456289972728,330.040585940268,353.110710623409,375.390573527233,400.787069424398,445.02378079118,501.316814178866,585.171404964645,817.452445155272,1048.59623468058,1205.07483377655,1395.09639887333,1568.54335363973,1739.72056573285,1877.68227213837,1966.90362644202,2088.0026865078,2144.80405335667,1465.10809173055,1422.68391394237,1558.90793451031,1857.0912337094,2009.03972858548,2146.75850960088,2371.57219575685,2622.26288057098,2259.23989366801,2127.50718981169,2348.09004733429,3295.24492362344,4748.38820787605,5166.16393308148,5282.04946994988,5087.07907232375,3479.84383285395,3749.91084752888,3160.24934491441,2839.49150108966,3070.43641941942,3637.3138901512,4790.45656586131,5886.39152194816,7348.18796290712,8831.18364277674,8597.79433526264,11286.071540212,13245.387369564,12370.2232548476,12300.3867121004,12112.8349554875,8813.98980647828,8710.06328995352,9928.67589653405,9151.38173161536,8897.55296585529,6796.84454227877,
