,country_name,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,unnamed:_65
4,Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38853486198.221,40565621895.643,39067768926.4374,30401925867.0135,31467023358.86,36945883949.3297,42718061571.3044,46644927780.4344,49382736263.9042,51188559061.9269,53931438611.886,57432494669.7672,66313630684.0612,69564636251.1885,79261910487.6944,94014137040.1714,108044190442.528,126490191862.26,143349394242.913,145682561883.685,153870650179.651,162538809184.169,186124220333.292,199865635605.063,220364785384.766,204603585194.557,204874680466.819,217987314775.762,218748623735.012,221262824980.767,211837324170.364,
8,United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159388692522.004,166196071082.632,175669385879.081,182101388798.475,198816173440.518,216560567676.245,233312694507.866,256935657832.501,260586202744.866,272020515374.322,308282993713.608,319452697780.723,332402388003.388,368371884545.888,414478037263.2,448139118339.611,507119701866.802,537324819731.677,565260624034.398,539707783886.877,554748240651.425,605575063616.23,631707057954.974,647295742436.972,678339276123.81,601179365119.067,598811161712.48,637384703409.743,660454237011.066,695178221906.912,660396841162.307,
9,Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234564125672.49,264644000848.374,292159264258.284,323630227657.508,349832146514.708,347005607350.473,372888233736.503,410342067258.763,430937274294.631,422359326228.804,428394155078.285,418489172661.132,378795278976.384,419925810757.286,470169433019.259,527729109507.491,587451576462.842,657569211584.856,697557858459.69,661275816702.498,736718360687.747,797263881242.037,819697901873.041,849616000404.317,839896688260.086,867176759338.262,885227528869.049,1039330591568.54,1036428172096.8,1033557797795.68,942508330081.911,
13,Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296371478762.324,308043662757.573,318664389750.262,338491267934.472,358779336153.12,378130489660.551,403005180162.152,425381557676.043,453005215189.055,478757083927.676,504548948084.348,532689376829.179,565345793833.1,593030336171.961,632150539681.331,665959595377.554,711378945253.441,762287051079.707,796834909433.138,873780713946.532,866655535725.333,938351559046.28,973825980527.428,1061730067174.66,1100561174645.73,1101456818288.23,1143148737101.39,1190694343959.24,1253361153370.88,1312636660762.97,1369884973053.42,
14,Austria,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149426293193.353,159796148361.341,166859341278.435,171714389063.407,179594119848.037,188251944516.395,195424431040.796,202601126779.917,212781190836.65,220639956878.73,235347920936.075,238878600644.736,251984858807.042,261056984714.604,275998555936.944,288086851811.747,311415088416.137,327096105756.992,343812802543.0,341393192854.121,351341906220.687,373031463577.163,391635006784.26,406370494341.228,417059741085.658,430975998137.236,460282766423.271,476590426691.819,503556884412.526,515713331248.954,496544223813.718,
17,Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186170807521.397,195994875686.734,203529748884.845,206350004389.938,217557501355.002,227416383686.972,230946171106.604,241624078147.238,248636221287.111,260168701709.78,284826588632.107,296130423579.759,312900377877.018,320963391708.604,334133752698.897,347658412088.972,371912420547.909,390932258442.523,405729462246.522,407562315465.057,434081107185.036,451932718764.387,469720618339.766,487343797679.386,503619406808.679,520878052195.13,550677647305.861,573788797293.568,600241647062.199,623501361331.917,612871850247.149,
21,Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65797993934.2371,62278330670.8929,59065261509.0793,59570292368.5683,61948491622.9964,65053238123.5232,57260138653.6366,47798043632.7839,51007564201.2472,47685758137.2379,52468510708.6717,55735446319.015,61023649905.0158,65444800367.9274,71006719143.5679,78821833750.4599,86713356360.4246,96666032169.8802,107411216119.713,105570797722.546,110612181615.067,115714748426.258,119289608551.244,120942415882.877,127263488552.679,132017089872.021,143086580996.863,151920196034.544,161506341673.843,171072113819.527,170672701599.892,
24,Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3545944237.06255,4373321305.35387,8415032038.62659,11511148093.7085,13456658540.007,14961437051.7146,17248489098.8046,17996031735.0805,19535776794.8386,20548203209.5603,22394548750.0808,24398017504.5431,27916911835.3832,30841702560.6664,33896691698.2771,33730478208.4274,34639788698.9419,36525658657.023,37145719739.8258,39027209595.236,39811580989.7746,41189242211.7366,44265849654.8882,46096453819.6274,49532462764.2098,51918675886.2031,51256492524.463,
28,Bolivia,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16291396888.7512,17729339184.1256,18431940387.6071,19674406165.1928,21032404534.296,22478018915.1956,23887877510.9591,25519649912.2215,27104797638.019,27613515807.5039,28938783243.5531,30071493290.4146,31306422344.5285,32752399650.2214,35037816368.9345,37726654226.3094,40732857821.293,43736202919.4137,47328355788.2333,49290089322.2839,51922209247.3177,55765337780.2746,61452959665.4717,69841188330.1307,75554052848.6329,77543289207.737,82736157918.0374,94285208488.0407,100626843894.555,104693606216.901,96600052229.8176,
29,Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997829676500.524,1042221695198.44,1060173331912.21,1138750850581.62,1231140868861.27,1310047926509.34,1363501491200.63,1434999659066.74,1456057183573.25,1483991599739.63,1583738322704.83,1640971586326.6,1717826874441.4,1769689965653.55,1922011556195.08,2045343558484.92,2190728444722.49,2386123965616.64,2556455419655.11,2572703709807.47,2798617943636.41,2970630762099.6,2998534424980.66,3133893649534.78,3187155079572.03,3014754849735.87,2939094210373.7,3018705988834.88,3146320980859.84,3247679577278.91,3153407029131.61,
