,country_name,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,unnamed:_65
4,Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3279.22212168333,3311.77645207868,3086.56511625428,2325.18727026949,2330.24281167317,2649.36112085334,2966.383322399,3136.51628626983,3215.10561889009,3226.1281422107,3289.40954946819,3389.19696691951,3785.1503220062,3838.7950524777,4225.4679269176,4837.70982676046,5362.01984289893,6050.61055453052,6607.29163426752,6470.67524420331,6587.98693898257,6710.75062298751,7412.96703464311,7682.47538648506,8179.29782812609,7337.56982204938,7103.22643061091,7310.89658895511,7099.97195809928,6952.41936236851,6445.43287270595,
8,United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87172.0997343654,85793.717027168,85571.6646950159,83796.6296610541,86653.6639098623,89669.4370194534,91887.1902945412,96181.5560804029,92629.3565810728,91712.0214854007,98365.1573861082,96724.0651137829,95551.7276379628,99239.9601570956,101872.973588358,97671.629302072,95679.8575342087,87102.97188999,79732.2434989502,68167.5758770941,64882.8503411842,67686.3853798798,69102.4761704654,70374.2353627555,73619.0446557068,64901.8800512352,63968.8880391711,67183.6053111678,68576.1155226865,71150.5421414274,66771.4997535294,
9,Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7191.10509033023,8000.36230985365,8713.54576407406,9526.91334664213,10168.750177921,9963.36090231541,10579.4772698476,11507.8954146611,11949.4186592024,11581.8905140722,11618.7932334926,11226.8797464943,10052.4882560869,11025.1860988296,12214.7407113551,13568.7692061284,14951.7289508076,16570.0078336983,17404.0691420333,16334.7408131075,18061.9343589164,19322.2271236942,19641.3528638347,20131.6804246983,19683.7715056442,20105.1989918165,20307.870052142,23597.117752839,23293.3986337639,22999.2750525577,20770.7264196415,
13,Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17367.1105802089,17822.4752810445,18214.5978708352,19159.5215902231,20094.0541110681,20923.5552047671,22008.9115920568,22972.4878585107,24210.6362668513,25296.2635489631,26343.0767025713,27439.8277870076,28768.7286317056,29807.4095606,31407.4614546007,32653.4016208815,34369.6193939212,36599.8507307471,37499.5251319174,40281.799672065,39336.6634845318,42003.1580559752,42836.6718635909,45906.4400399472,46880.8951800484,46248.6164566389,47255.3070085957,48398.5497014956,50169.1872936523,51748.3977215322,53329.808328387,
14,Austria,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19461.9969383816,20605.8535653617,21281.1547117021,21720.5110664013,22629.9709565858,23684.6200543557,24553.8401338753,25426.7174051837,26675.0431579236,27606.4830303088,29376.0197364753,29702.7975286074,31178.6933297272,32144.2418052358,33773.825776679,35013.7140443423,37662.1851663577,39430.6091682131,41316.225176699,40918.1321224314,42009.4385277438,44452.7327457999,46457.3457770311,47922.0491207455,48799.7154676985,49865.9039424185,52684.0171130768,54172.9867888254,56960.0914258929,58076.348801448,55683.8408238588,
17,Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18678.0102895051,19590.6991810208,20261.478105655,20462.1464568,21507.1213604371,22434.7069001259,22738.4488691093,23732.272246394,24368.9136857593,25440.8411888638,27784.5715041684,28788.0628411374,30282.2886450283,30932.8525095624,32063.0803240468,33177.8909458158,35259.1867115805,36791.2004331501,37883.3319417819,37749.5095365743,39840.0881958103,40942.372710454,42290.7620520019,43671.11959259,44929.685593416,46200.904454307,48597.3999826201,50442.2705419624,52528.1185388814,54269.5140327442,53034.961003118,
21,Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7547.12236933613,7214.5137794643,6916.17415181714,7031.17228654894,7336.7470810697,7738.8436379966,6846.98433922176,5750.43943730777,6177.65365376397,5807.81170069875,6421.95913484706,6958.97841729051,7786.4484224601,8416.98366742999,9201.50412778876,10291.4377739545,11408.1180610219,12811.3587714533,14335.7146000831,14181.1546844467,14956.4871777211,15747.0853813627,16327.8726078533,16647.0063974042,17616.913178474,18391.9274727456,20074.3762957132,21469.9454411605,22990.1054861125,24523.7922886874,24613.8350724496,
24,Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.779859267459,1142.14294603017,2235.41323073404,3081.08469426658,3603.49238339083,3996.80101014108,4598.15511157158,4791.89579244824,5196.52975386123,5461.78244298326,5949.36093891037,6479.64575355988,7414.01942076698,8196.49631368481,9028.85859514751,9028.63350729932,9348.26456908985,9976.49077413797,10304.0244805857,11016.5504511762,11433.1904283714,12010.7594974624,13072.1830096742,13753.8374426837,14901.781224632,15728.1755051663,15623.0974695199,
28,Bolivia,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2373.16518111367,2528.62446603467,2573.96369593546,2690.38573640819,2816.7926111101,2948.96798214243,3070.71018905109,3215.09304209064,3347.60994402812,3344.22854407412,3437.61642755021,3504.7363793401,3580.81433483703,3677.6399759058,3863.45202084525,4086.37610778823,4335.38171739243,4575.66423712888,4868.44264066933,4986.4579138539,5167.11031871591,5460.25705795265,5921.64890711782,6624.80592182792,7056.82836431613,7133.87314496226,7499.77274089787,8423.69755843668,8863.34916107392,9093.43165872246,8275.49149666446,
29,Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6696.69852112613,6872.63694272249,6872.66679126337,7260.16886436699,7722.00895793095,8085.72289855934,8282.98833758118,8582.06953149375,8575.87545352509,8611.90238580662,9060.78866695732,9260.76838093081,9568.06602729728,9733.77330392262,10445.3471782104,10988.9611484477,11642.4470546838,12549.9309993023,13312.7667574522,13269.1221073249,14299.5551384925,15040.0610864372,15046.2901818178,15588.7261289147,15718.5649500141,14744.1136344695,14256.163385421,14524.6135408174,15020.4382238881,15388.234915991,14835.4149268998,
