,sofifa_id,short_name,long_name,value_eur,wage_eur,age,height_cm,weight_kg,club_team_id,club_name,nationality_id,nationality_name,year
0,20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,95500000.0,575000.0,32,185,80,243.0,Real Madrid CF,38,Portugal,
1,158023,L. Messi,Lionel Andrés Messi Cuccittini,105000000.0,575000.0,30,170,72,241.0,FC Barcelona,52,Argentina,
2,167495,M. Neuer,Manuel Peter Neuer,61000000.0,225000.0,31,193,92,21.0,FC Bayern München,21,Germany,
3,176580,L. Suárez,Luis Alberto Suárez Díaz,97000000.0,500000.0,30,182,86,241.0,FC Barcelona,60,Uruguay,
4,190871,Neymar,Neymar da Silva Santos Júnior,123000000.0,275000.0,25,175,68,73.0,Paris Saint-Germain,54,Brazil,
5,188545,R. Lewandowski,Robert Lewandowski,92000000.0,350000.0,28,185,79,21.0,FC Bayern München,37,Poland,
6,155862,Sergio Ramos,Sergio Ramos García,52000000.0,300000.0,31,183,75,243.0,Real Madrid CF,45,Spain,
7,167664,G. Higuaín,Gonzalo Gerardo Higuaín,77000000.0,275000.0,29,184,87,45.0,Juventus,52,Argentina,
8,182521,T. Kroos,Toni Kroos,79000000.0,325000.0,27,182,78,243.0,Real Madrid CF,21,Germany,
9,183277,E. Hazard,Eden Hazard,90500000.0,300000.0,26,173,76,5.0,Chelsea,7,Belgium,
10,193080,De Gea,David De Gea Quintana,64500000.0,200000.0,26,193,76,11.0,Manchester United,45,Spain,
11,1179,G. Buffon,Gianluigi Buffon,4500000.0,110000.0,39,191,94,45.0,Juventus,27,Italy,
12,138956,G. Chiellini,Giorgio Chiellini,38000000.0,225000.0,32,187,85,45.0,Juventus,27,Italy,
13,153079,S. Agüero,Sergio Leonel Agüero del Castillo,66500000.0,325000.0,29,173,70,10.0,Manchester City,52,Argentina,
14,173731,G. Bale,Gareth Frank Bale,69500000.0,375000.0,27,183,74,243.0,Real Madrid CF,50,Wales,
15,177003,L. Modrić,Luka Modrić,57000000.0,325000.0,31,174,65,243.0,Real Madrid CF,10,Croatia,
16,184941,A. Sánchez,Alexis Alejandro Sánchez Sánchez,67500000.0,250000.0,28,169,62,1.0,Arsenal,55,Chile,
17,192119,T. Courtois,Thibaut Courtois,59000000.0,190000.0,25,199,94,5.0,Chelsea,7,Belgium,
18,192985,K. De Bruyne,Kevin De Bruyne,83000000.0,275000.0,26,181,68,10.0,Manchester City,7,Belgium,
19,9014,A. Robben,Arjen Robben,36000000.0,225000.0,33,180,80,21.0,FC Bayern München,34,Netherlands,
20,41236,Z. Ibrahimović,Zlatan Ibrahimović,27000000.0,225000.0,35,195,95,11.0,Manchester United,46,Sweden,
21,164240,Thiago Silva,Thiago Emiliano da Silva,34000000.0,170000.0,32,183,79,73.0,Paris Saint-Germain,54,Brazil,
22,167948,H. Lloris,Hugo Lloris,38000000.0,160000.0,30,188,82,18.0,Tottenham Hotspur,18,France,
23,176635,M. Özil,Mesut Özil,60000000.0,250000.0,28,180,76,1.0,Arsenal,21,Germany,
24,178603,M. Hummels,Mats Hummels,48000000.0,225000.0,28,191,92,21.0,FC Bayern München,21,Germany,
25,182493,D. Godín,Diego Roberto Godín Leal,40000000.0,120000.0,31,186,78,240.0,Atlético de Madrid,60,Uruguay,
26,183907,J. Boateng,Jérôme Boateng,48000000.0,225000.0,28,192,90,21.0,FC Bayern München,21,Germany,
