,sofifa_id,short_name,short_name,long_name,value_eur,wage_eur,age,height_cm,weight_kg,club_team_id,club_name,nationality_id,nationality_name
0,158023,L. Messi,L. Messi,Lionel Andrés Messi Cuccittini,100500000.0,550000.0,27,169,67,241.0,FC Barcelona,52,Argentina
1,20801,Cristiano Ronaldo,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,79000000.0,375000.0,29,185,80,243.0,Real Madrid CF,38,Portugal
2,9014,A. Robben,A. Robben,Arjen Robben,54500000.0,275000.0,30,180,80,21.0,FC Bayern München,34,Netherlands
3,41236,Z. Ibrahimović,Z. Ibrahimović,Zlatan Ibrahimović,52500000.0,275000.0,32,195,95,73.0,Paris Saint-Germain,46,Sweden
4,167495,M. Neuer,M. Neuer,Manuel Peter Neuer,63500000.0,300000.0,28,193,92,21.0,FC Bayern München,21,Germany
5,41,Iniesta,Iniesta,Andrés Iniesta Luján,36000000.0,250000.0,30,170,65,241.0,FC Barcelona,45,Spain
6,176580,L. Suárez,L. Suárez,Luis Alberto Suárez Díaz,49500000.0,300000.0,27,181,81,241.0,FC Barcelona,60,Uruguay
7,7826,R. van Persie,R. van Persie,Robin van Persie,40500000.0,230000.0,30,187,71,11.0,Manchester United,34,Netherlands
8,121944,B. Schweinsteiger,B. Schweinsteiger,Bastian Schweinsteiger,39000000.0,200000.0,29,183,79,21.0,FC Bayern München,21,Germany
9,156616,F. Ribéry,F. Ribéry,Franck Bilal Ribéry,33000000.0,200000.0,31,170,72,21.0,FC Bayern München,18,France
10,167397,Falcao,Falcao,Radamel Falcao García Zárate,46500000.0,250000.0,28,177,72,11.0,Manchester United,56,Colombia
11,183277,E. Hazard,E. Hazard,Eden Hazard,40500000.0,210000.0,23,173,74,5.0,Chelsea,7,Belgium
12,121939,P. Lahm,P. Lahm,Philipp Lahm,24500000.0,190000.0,30,170,66,21.0,FC Bayern München,21,Germany
13,155862,Sergio Ramos,Sergio Ramos,Sergio Ramos García,31500000.0,220000.0,28,183,75,243.0,Real Madrid CF,45,Spain
14,164240,Thiago Silva,Thiago Silva,Thiago Emiliano da Silva,29000000.0,190000.0,29,183,79,73.0,Paris Saint-Germain,54,Brazil
15,168542,David Silva,David Silva,David Josué Jiménez Silva,36500000.0,220000.0,28,170,67,10.0,Manchester City,45,Spain
16,173731,G. Bale,G. Bale,Gareth Frank Bale,39000000.0,200000.0,24,183,74,243.0,Real Madrid CF,50,Wales
17,177003,L. Modrić,L. Modrić,Luka Modrić,36500000.0,220000.0,28,174,65,243.0,Real Madrid CF,10,Croatia
18,188545,R. Lewandowski,R. Lewandowski,Robert Lewandowski,44000000.0,210000.0,25,184,78,21.0,FC Bayern München,37,Poland
19,10535,Xavi,Xavi,Xavier Hernández Creus,15500000.0,160000.0,34,170,68,241.0,FC Barcelona,45,Spain
21,54050,W. Rooney,W. Rooney,Wayne Mark Rooney,40000000.0,230000.0,28,176,83,11.0,Manchester United,14,England
22,139720,V. Kompany,V. Kompany,Vincent Jean Mpoy Kompany,31500000.0,220000.0,28,192,85,10.0,Manchester City,7,Belgium
23,153079,S. Agüero,S. Agüero,Sergio Leonel Agüero del Castillo,45500000.0,230000.0,26,172,74,10.0,Manchester City,52,Argentina
24,176635,M. Özil,M. Özil,Mesut Özil,44000000.0,190000.0,25,183,76,1.0,Arsenal,21,Germany
25,178603,M. Hummels,M. Hummels,Mats Hummels,35500000.0,200000.0,25,192,90,22.0,Borussia Dortmund,21,Germany
26,183898,Á. Di María,Á. Di María,Ángel Fabián Di María Hernández,45500000.0,230000.0,26,180,70,11.0,Manchester United,52,Argentina
27,188350,M. Reus,M. Reus,Marco Reus,40000000.0,180000.0,25,181,73,22.0,Borussia Dortmund,21,Germany
28,189596,T. Müller,T. Müller,Thomas Müller,39000000.0,200000.0,24,186,75,21.0,FC Bayern München,21,Germany
29,190871,Neymar,Neymar,Neymar da Silva Santos Júnior,31000000.0,210000.0,22,175,64,241.0,FC Barcelona,54,Brazil
30,192119,T. Courtois,T. Courtois,Thibaut Courtois,27000000.0,170000.0,22,199,88,5.0,Chelsea,7,Belgium
31,198710,J. Rodríguez,J. Rodríguez,James David Rodríguez Rubio,35000000.0,190000.0,22,180,75,243.0,Real Madrid CF,56,Colombia
33,143001,C. Tévez,C. Tévez,Carlos Alberto Tevez,21000000.0,160000.0,30,173,75,45.0,Juventus,52,Argentina
