,year,team,stage,wins,loss,goals
0,1930,Uruguay,Final,1,0,4
1,1930,Argentina,Group stage,3,0,10
2,1930,Brazil,Group stage,1,1,5
3,1930,Chile,Group stage,2,1,5
4,1930,France,Group stage,1,2,4
5,1930,Paraguay,Group stage,1,1,1
6,1930,Romania,Group stage,1,1,3
7,1930,United States,Group stage,2,0,6
8,1930,Uruguay,Group stage,2,0,5
9,1930,Yugoslavia,Group stage,2,0,6
10,1930,Argentina,Semi-finals,1,0,6
11,1930,Uruguay,Semi-finals,1,0,6
12,1934,Italy,Final,1,0,2
13,1934,Austria,Quarter-finals,1,0,2
14,1934,Czechoslovakia,Quarter-finals,1,0,3
15,1934,Germany,Quarter-finals,1,0,2
16,1934,Italy,Quarter-finals,1,0,2
17,1934,Austria,Round of 16,1,0,3
18,1934,Czechoslovakia,Round of 16,1,0,2
19,1934,Germany,Round of 16,1,0,5
20,1934,Hungary,Round of 16,1,0,4
21,1934,Italy,Round of 16,1,0,7
22,1934,Spain,Round of 16,1,0,3
23,1934,Sweden,Round of 16,1,0,3
24,1934,Switzerland,Round of 16,1,0,3
25,1934,Czechoslovakia,Semi-finals,1,0,3
26,1934,Italy,Semi-finals,1,0,1
27,1934,Germany,Third place,1,0,3
28,1938,Italy,Final,1,0,4
29,1938,Brazil,Quarter-finals,1,0,3
30,1938,Hungary,Quarter-finals,1,0,2
31,1938,Italy,Quarter-finals,1,0,3
32,1938,Sweden,Quarter-finals,1,0,8
33,1938,Brazil,Round of 16,1,0,6
34,1938,Cuba,Round of 16,1,0,5
35,1938,Czechoslovakia,Round of 16,1,0,3
36,1938,France,Round of 16,1,0,3
37,1938,Hungary,Round of 16,1,0,6
38,1938,Italy,Round of 16,1,0,2
39,1938,Switzerland,Round of 16,1,0,5
40,1938,Hungary,Semi-finals,1,0,5
41,1938,Italy,Semi-finals,1,0,2
42,1938,Brazil,Third place,1,0,4
43,1950,Brazil,Final round,2,1,14
44,1950,Sweden,Final round,1,2,6
45,1950,Uruguay,Final round,2,0,7
46,1950,Brazil,First round,2,0,8
47,1950,Chile,First round,1,2,5
48,1950,England,First round,1,2,2
49,1950,Italy,First round,1,1,4
50,1950,Spain,First round,3,0,6
51,1950,Sweden,First round,1,0,5
52,1950,Switzerland,First round,1,1,4
53,1950,United States,First round,1,2,4
54,1950,Uruguay,First round,1,0,8
55,1950,Yugoslavia,First round,2,1,7
56,1954,Germany,Final,1,0,3
57,1954,Austria,Group stage,2,0,6
58,1954,Brazil,Group stage,1,0,6
59,1954,England,Group stage,1,0,6
60,1954,France,Group stage,1,1,3
61,1954,Germany,Group stage,2,1,14
62,1954,Hungary,Group stage,2,0,17
63,1954,Italy,Group stage,1,2,6
64,1954,Switzerland,Group stage,2,1,6
65,1954,Turkey,Group stage,1,2,10
66,1954,Uruguay,Group stage,2,0,9
67,1954,Yugoslavia,Group stage,1,0,2
68,1954,Austria,Quarter-finals,1,0,7
69,1954,Germany,Quarter-finals,1,0,2
70,1954,Hungary,Quarter-finals,1,0,4
71,1954,Uruguay,Quarter-finals,1,0,4
72,1954,Germany,Semi-finals,1,0,6
73,1954,Hungary,Semi-finals,1,0,4
74,1954,Austria,Third place,1,0,3
75,1958,Brazil,Final,1,0,5
