ID,Tournament,Date,Home Team,Home Goals,Away Goals,Away Team,Winning Team,Losing Team,Win Conditions,Home Stadium
1,Friendly,1872-11-30,Scotland,0,0,England,,,,TRUE
2,Friendly,1873-03-08,England,4,2,Scotland,England,Scotland,,TRUE
3,Friendly,1874-03-07,Scotland,2,1,England,Scotland,England,,TRUE
4,Friendly,1875-03-06,England,2,2,Scotland,,,,TRUE
5,Friendly,1876-03-04,Scotland,3,0,England,Scotland,England,,TRUE
6,Friendly,1876-03-25,Scotland,4,0,Wales,Scotland,Wales,,TRUE
7,Friendly,1877-03-03,England,1,3,Scotland,Scotland,England,,TRUE
8,Friendly,1877-03-05,Wales,0,2,Scotland,Scotland,Wales,,TRUE
9,Friendly,1878-03-02,Scotland,7,2,England,Scotland,England,,TRUE
10,Friendly,1878-03-23,Scotland,9,0,Wales,Scotland,Wales,,TRUE
11,Friendly,1879-01-18,England,2,1,Wales,England,Wales,,TRUE
12,Friendly,1879-04-05,England,5,4,Scotland,England,Scotland,,TRUE
13,Friendly,1879-04-07,Wales,0,3,Scotland,Scotland,Wales,,TRUE
14,Friendly,1880-03-13,Scotland,5,4,England,Scotland,England,,TRUE
15,Friendly,1880-03-15,Wales,2,3,England,England,Wales,,TRUE
16,Friendly,1880-03-27,Scotland,5,1,Wales,Scotland,Wales,,TRUE
17,Friendly,1881-02-26,England,0,1,Wales,Wales,England,,TRUE
18,Friendly,1881-03-12,England,1,6,Scotland,Scotland,England,,TRUE
19,Friendly,1881-03-14,Wales,1,5,Scotland,Scotland,Wales,,TRUE
20,Friendly,1882-02-18,Northern Ireland,0,13,England,England,Northern Ireland,,TRUE
21,Friendly,1882-02-25,Wales,7,1,Northern Ireland,Wales,Northern Ireland,,TRUE
22,Friendly,1882-03-11,Scotland,5,1,England,Scotland,England,,TRUE
23,Friendly,1882-03-13,Wales,5,3,England,Wales,England,,TRUE
24,Friendly,1882-03-25,Scotland,5,0,Wales,Scotland,Wales,,TRUE
25,Friendly,1883-02-03,England,5,0,Wales,England,Wales,,TRUE
26,Friendly,1883-02-24,England,7,0,Northern Ireland,England,Northern Ireland,,TRUE
27,Friendly,1883-03-10,England,2,3,Scotland,Scotland,England,,TRUE
28,Friendly,1883-03-12,Wales,0,3,Scotland,Scotland,Wales,,TRUE
29,Friendly,1883-03-17,Northern Ireland,1,1,Wales,,,,TRUE
30,British Championship,1884-02-09,Wales,6,0,Northern Ireland,Wales,Northern Ireland,,TRUE
31,British Championship,1884-02-23,Northern Ireland,1,8,England,England,Northern Ireland,,TRUE
32,British Championship,1884-03-15,Scotland,1,0,England,Scotland,England,,TRUE
33,British Championship,1884-03-17,Wales,0,4,England,England,Wales,,TRUE
