Country Name,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1447708861.20673,1615844601.64351,1749884030.61462,1922269464.26791,2124386768.13186,2224178895.7504,2291759847.27755,2497125591.58529,2575533498.67338,2645065705.20619,2910162905.13092,2885630124.8218,2835314410.0219,2945022088.35996,3263578403.08735,3406102722.27756,3546046052.97751,3706854417.83276,3775529799.68399,3404108436.82609,3316870714.41778,3502845774.57458,3442855767.49202,3799467166.166,3816822068.4595,3893070716.59654,3941353654.93151,4098239741.2414,,,,
Africa Eastern and Southern,AFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565349520935.696,585189854588.895,587562744684.318,600698447432.807,625288413975.041,666962123526.166,716610847953.384,756329174028.609,779048109414.773,812626248180.891,859685158060.502,910897800217.452,961599009612.973,1011475752939.95,1097313270763.85,1201991639367.65,1320869942007.01,1447803826593.64,1543755334817.4,1569121273801.61,1668254563936.0,1770507807285.04,1772678698005.94,1893538553759.34,2025402327550.13,2098286312502.29,2212573183200.9,2319151164287.87,2438517652531.92,2536279620835.27,2495345346265.79,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19821201272.7123,21972474901.6777,22883102406.9713,26245649893.4599,28488533288.0223,33298540656.4323,35278625599.7927,43151385722.0354,49924017476.7623,51184181904.4289,59667003515.1962,65039839448.5561,69058343420.1602,71831696727.8086,70097956089.2877,74711922906.3738,77415569869.8162,81879802965.493,80918342084.7864,
Africa Western and Central,AFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354456408577.7,370890369529.033,389036417451.311,393919365609.969,401627746223.134,418672566907.893,446298548530.584,473915275751.451,496488116247.748,511414281849.758,541750598091.302,582655968781.564,647923733580.242,696337444272.311,771998251877.483,842562264427.162,914387072648.355,989827353216.014,1071863198168.59,1145712437539.72,1238217046078.27,1324190379112.28,1396676545559.9,1526772041499.13,1645121615924.78,1662297007354.66,1678673573433.82,1744086797034.34,1841810559633.82,1937450957362.24,1946296873084.82,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38853486198.221,40565621895.643,39067768926.4374,30401925867.0135,31467023358.86,36945883949.3297,42718061571.3044,46644927780.4344,49382736263.9042,51188559061.9269,53931438611.886,57432494669.7672,66313630684.0612,69564636251.1885,79261910487.6944,94014137040.1714,108044190442.528,126490191862.26,143349394242.913,145682561883.685,153870650179.651,162538809184.169,186124220333.292,199865635605.063,220364785384.766,204603585194.557,204874680466.819,217987314775.762,218748623735.012,221262824980.767,211837324170.364,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8374478544.59225,6233346659.22129,5917192039.58383,6636506129.85337,7341010522.39282,8493445677.1662,9436013062.55441,8555908065.78459,9451419206.02876,10792624922.3438,11926129734.7085,13157356089.9326,14221986237.4723,15198230044.7357,16429415677.4264,17663280434.3643,19650777816.5529,21631651452.0414,24251525378.4462,25800311194.0603,28048669277.8213,29655555314.7371,30530372661.7234,30603912535.8345,32529194811.0951,33585844099.8588,34739972822.8228,36696816738.7391,38647380897.284,39995711225.2177,38138316065.2023,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1501103961828.43,1669620929679.57,1793123087325.79,1888440233289.74,1984057903600.01,2080160585162.3,2214707650029.35,2349563762195.87,2507696641078.26,2595330210170.84,2831593929119.08,2941040811712.52,2997002327049.59,3178544925084.51,3565037836579.37,3874324391153.64,4221247005884.26,4523257281788.74,4876107785739.78,4940831413480.08,5234470005638.41,5523988444784.4,5991511749349.28,6106965765854.71,6119933409239.43,5610923877902.68,5535854531233.4,5855607842336.03,6151708666524.9,6394921423135.17,6163643616399.55,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159388692522.004,166196071082.632,175669385879.081,182101388798.475,198816173440.518,216560567676.245,233312694507.866,256935657832.501,260586202744.866,272020515374.322,308282993713.608,319452697780.723,332402388003.388,368371884545.888,414478037263.2,448139118339.611,507119701866.802,537324819731.677,565260624034.398,539707783886.877,554748240651.425,605575063616.23,631707057954.974,647295742436.972,678339276123.81,601179365119.067,598811161712.48,637384703409.743,660454237011.066,695178221906.912,660396841162.307,
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234564125672.49,264644000848.374,292159264258.284,323630227657.508,349832146514.708,347005607350.473,372888233736.503,410342067258.763,430937274294.631,422359326228.804,428394155078.285,418489172661.132,378795278976.384,419925810757.286,470169433019.259,527729109507.491,587451576462.842,657569211584.856,697557858459.69,661275816702.498,736718360687.747,797263881242.037,819697901873.041,849616000404.317,839896688260.086,867176759338.262,885227528869.049,1039330591568.54,1036428172096.8,1033557797795.68,942508330081.911,
