ID,Year,Date,Stage,Home Team,Home Goals,Away Goals,Away Team,Winning Team,Losing Team,Win Conditions,Host Team
1,1930,1930/7/13,Group stage,France,4,1,Mexico,France,Mexico,,FALSE
2,1930,1930/7/13,Group stage,United States,3,0,Belgium,United States,Belgium,,FALSE
3,1930,1930/7/14,Group stage,Yugoslavia,2,1,Brazil,Yugoslavia,Brazil,,FALSE
4,1930,1930/7/14,Group stage,Romania,3,1,Peru,Romania,Peru,,FALSE
5,1930,1930/7/15,Group stage,Argentina,1,0,France,Argentina,France,,FALSE
6,1930,1930/7/16,Group stage,Chile,3,0,Mexico,Chile,Mexico,,FALSE
7,1930,1930/7/17,Group stage,Yugoslavia,4,0,Bolivia,Yugoslavia,Bolivia,,FALSE
8,1930,1930/7/17,Group stage,United States,3,0,Paraguay,United States,Paraguay,,FALSE
9,1930,1930/7/18,Group stage,Uruguay,1,0,Peru,Uruguay,Peru,,TRUE
10,1930,1930/7/19,Group stage,Chile,1,0,France,Chile,France,,FALSE
11,1930,1930/7/19,Group stage,Argentina,6,3,Mexico,Argentina,Mexico,,FALSE
12,1930,1930/7/20,Group stage,Brazil,4,0,Bolivia,Brazil,Bolivia,,FALSE
13,1930,1930/7/20,Group stage,Paraguay,1,0,Belgium,Paraguay,Belgium,,FALSE
14,1930,1930/7/21,Group stage,Uruguay,4,0,Romania,Uruguay,Romania,,TRUE
15,1930,1930/7/22,Group stage,Argentina,3,1,Chile,Argentina,Chile,,FALSE
16,1930,1930/7/26,Semi-finals,Argentina,6,1,United States,Argentina,United States,,FALSE
17,1930,1930/7/27,Semi-finals,Uruguay,6,1,Yugoslavia,Uruguay,Yugoslavia,,TRUE
18,1930,1930/7/30,Final,Uruguay,4,2,Argentina,Uruguay,Argentina,,TRUE
19,1934,1934/5/27,Round of 16,Austria,3,2,France,Austria,France,Extra time,FALSE
20,1934,1934/5/27,Round of 16,Hungary,4,2,Egypt,Hungary,Egypt,,FALSE
21,1934,1934/5/27,Round of 16,Switzerland,3,2,Netherlands,Switzerland,Netherlands,,FALSE
22,1934,1934/5/27,Round of 16,Sweden,3,2,Argentina,Sweden,Argentina,,FALSE
23,1934,1934/5/27,Round of 16,Germany,5,2,Belgium,Germany,Belgium,,FALSE
24,1934,1934/5/27,Round of 16,Spain,3,1,Brazil,Spain,Brazil,,FALSE
25,1934,1934/5/27,Round of 16,Italy,7,1,United States,Italy,United States,,TRUE
26,1934,1934/5/27,Round of 16,Czechoslovakia,2,1,Romania,Czechoslovakia,Romania,,FALSE
27,1934,1934/5/31,Quarter-finals,Czechoslovakia,3,2,Switzerland,Czechoslovakia,Switzerland,,FALSE
28,1934,1934/5/31,Quarter-finals,Germany,2,1,Sweden,Germany,Sweden,,FALSE
29,1934,1934/5/31,Quarter-finals,Italy,1,1,Spain,,,,TRUE
30,1934,1934/5/31,Quarter-finals,Austria,2,1,Hungary,Austria,Hungary,,FALSE
31,1934,1934/6/1,Quarter-finals,Italy,1,0,Spain,Italy,Spain,,TRUE
32,1934,1934/6/3,Semi-finals,Italy,1,0,Austria,Italy,Austria,,TRUE
33,1934,1934/6/3,Semi-finals,Czechoslovakia,3,1,Germany,Czechoslovakia,Germany,,FALSE
